epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,343.95,1.84798,1.99524,3.72128,0.04222,1.0597,0.38903,0.4631,0.40667,0.2692,0.38984,0.46418,0.41026,0.32463,1.25851,0.63446,2.07947,0.04477,0,0.000199671,0.000199671,0.0802326
2,681.626,1.20382,1.25367,2.19476,0.02388,0.58849,0.62166,0.71679,0.75906,0.63044,0.62166,0.71679,0.75906,0.67393,0.76153,0.72943,1.11188,0.02631,0,0.000386482,0.000386482,0.0604194
3,1021.82,1.02814,1.11247,1.65401,0.01983,0.46908,0.73631,0.79795,0.87538,0.74275,0.73631,0.79795,0.87538,0.75442,0.67162,0.719,0.86909,0.0225,0,0.000560093,0.000560093,0.040593
4,1359.78,0.92942,1.03519,1.33668,0.01756,0.3278,0.85375,0.88918,0.96355,0.86205,0.85375,0.88918,0.96355,0.8905,0.53147,0.4778,0.46861,0.01725,0,0.000720504,0.000720504,0.0207534
5,1697.07,0.84376,0.97959,1.14349,0.01572,0.2495,0.94764,0.95604,0.99025,0.83003,0.94764,0.95604,0.99025,0.91427,0.72986,0.48752,0.33087,0.02405,0,0.000867714,0.000867714,0.000900609
6,2036.61,0.76523,0.92518,0.98826,0.01402,0.20701,0.93563,0.95725,0.98955,0.87396,0.93563,0.95725,0.98955,0.91532,0.57597,0.49842,0.28282,0.01907,0,0.000835,0.000835,0.000835
7,2374.49,0.70842,0.88742,0.87185,0.01277,0.17734,0.9742,0.97368,0.99377,0.94811,0.9742,0.97368,0.99377,0.92349,0.33532,0.46631,0.18778,0.01079,0,0.000802,0.000802,0.000802
8,2713,0.67259,0.85716,0.80559,0.01203,0.16143,0.94297,0.96016,0.9918,0.94521,0.94297,0.96016,0.9918,0.92823,0.35286,0.44089,0.21372,0.01144,0,0.000769,0.000769,0.000769
9,3054.46,0.64531,0.83902,0.75116,0.01147,0.14932,0.962,0.96574,0.99162,0.92275,0.962,0.96574,0.99162,0.93339,0.40789,0.42692,0.20708,0.01364,0,0.000736,0.000736,0.000736
10,3394.57,0.62229,0.81397,0.7056,0.01097,0.13799,0.97852,0.98014,0.99424,0.95653,0.97852,0.98014,0.99424,0.93576,0.32132,0.4176,0.14437,0.0106,0,0.000703,0.000703,0.000703
